JJ O3o O3p TEMPE RMH2O NO2 STATION FF
S 116 107.4 27.7 0.00828 2.518 Aix 8.3024
S 64 104.7 26 0.01025 2.053 Aix 8.8051
S 81 111.2 25.8 0.00626 3.135 Aix 8.8204
F 102 128.3 24 0.00658 2.539 Aix 9.0802
F 89 144.3 25.6 0.00742 2.16 Aix 5.9816
S 124 141.6 30 0.00863 2.542 Aix 5.7009
S 139 186.2 28.1 0.00844 5.222 Aix 6.3695
S 176 170.3 27.1 0.01128 3.391 Aix 3.6056
F 148 176.6 27.2 0.00896 8.967 Aix 6.3702
S 156 166.6 27.4 0.00897 13.771 Aix 6.4351
F 123 142.4 30.2 0.01025 17.158 Aix 7.1344
F 149 244.1 33.3 0.00782 9.755 Aix 5.7009
S 120 227 23.9 0.01232 17.013 Aix 3.467
S 77 121.2 25.9 0.00929 4.712 Aix 8.1025
S 107 98.2 29.8 0.0043 3.937 Aix 11.5256
S 83 98.5 30.5 0.00619 3 Aix 12.1622
S 120 109.1 29.6 0.00375 3.605 Aix 10.9786
F 96 159.1 27.6 0.00608 3.907 Aix 7.0029
F 98 143.7 27.8 0.00909 13.958 Aix 6.1847
S 102 144.5 27.9 0.01151 15.724 Aix 6.3411
S 144 253.4 29.1 0.00913 17.967 Aix 5.6727
S 103 151.7 30.3 0.00995 9.202 Aix 6.8154
S 113 150.3 31.4 0.01004 7.685 Aix 7.0214
S 115 207.2 30.5 0.01224 7.961 Aix 5.8241
F 117 122 29 0.00701 2.961 Aix 7.6538
F 93 102.7 26.5 0.0044 3.172 Aix 8.3648
S 93 132 29.8 0.00476 3.34 Aix 6.2514
S 100 149.8 23.9 0.01123 2.643 Aix 5.0329
S 97 122.8 26.2 0.00743 3.118 Aix 14.2948
S 101 98.4 26.2 0.00428 3.778 Aix 14.1767
S 98 93.9 29.8 0.00464 3.572 Aix 10.8904
F 83 98.9 30 0.00518 1.852 Aix 10.4019
F 74 79.6 26.8 0.00629 2.079 Aix 12.14
S 118 103.7 27 0.00364 3.122 Aix 5.5902
S 109 126.7 25.1 0.00672 12.365 Aix 6.8819
S 99 241.6 23.1 0.0138 9.918 Aix 3.9825
S 85 102.3 28.6 0.00453 3.159 Aix 9.9765
F 92 78.5 28.6 0.00483 2.515 Aix 9.4403
F 92 100.2 28.4 0.00638 2.603 Aix 7.5007
S 109 135.6 26.4 0.00556 12.93 Aix 6.4444
S 117 128.4 27.2 0.00985 5.479 Aix 6.6287
F 91 118.1 24.1 0.0058 2.606 Aix 7.1449
F 69 131.4 19.6 0.00902 4.453 Aix 6.5
S 83 126.5 23 0.00866 3.837 Aix 14.0014
S 71 103.9 25.9 0.00462 2.839 Aix 10.6832
S 105 147.6 26.4 0.00827 5.04 Aix 5.41202
S 108 120.4 24.5 0.00693 7.581 Aix 6.73573
S 86 113.9 26.1 0.00779 5.063 Aix 5.93633
F 26 187.3 21.7 0.01044 20.248 Aix 4.12311
F 79 149.8 24 0.01226 5.145 Aix 2.69072
S 109 176.3 25.6 0.01088 6.182 Aix 6.31981
S 138 192.4 27.2 0.00929 5.561 Aix 5.91692
S 126 153.9 27.4 0.0065 10.126 Aix 5.63649
S 100 132.1 25.6 0.01043 15.658 Aix 6.30079
S 133 183.6 28.8 0.00874 15.225 Aix 5.45894
F 112 157 28.4 0.00932 7.958 Aix 5.76975
F 110 130.5 27.6 0.00816 11.647 Aix 5.59732
S 104 90.2 21.2 0.01293 4.083 Aix 9.80306
S 71 85.1 19.5 0.01333 4.528 Aix 7.0214
S 86 92.6 19.9 0.01301 18.337 Aix 2.96816
F 84 66.9 21 0.01359 9.213 Aix 2.30217
S 75 91.5 21.5 0.00773 4.522 Aix 5.72713
S 96 118.6 21.2 0.01044 11.1 Aix 4.68615
S 87 116.8 24.6 0.00992 5.553 Aix 5.73847
S 105 148.4 25.9 0.00956 9.34 Aix 4.00125
S 60 75.8 17.9 0.00799 9.915 Aix 2.77308
S 112 139.6 20.4 0.00741 8.124 Aix 4.20476
S 117 154.7 20.4 0.00663 31.114 Aix 3.80789
F 105 152.6 20.4 0.00975 18.402 Aix 2.65707
F 46 67.2 15 0.00978 0.708 Als 4.44072
F 92 82.7 18 0.01055 0.811 Als 3.96232
S 68 100.1 15.8 0.00932 2.41 Als 0.41231
S 85 80.5 17.1 0.01091 0.713 Als 3.61248
S 96 74.8 18 0.00896 0.499 Als 5.21728
S 114 56.1 19.7 0.00894 1.065 Als 1.97231
S 127 72.2 21.5 0.00995 1.045 Als 3.2249
F 140 123.2 22.3 0.00865 13.882 Als 5.66392
F 131 98 23.6 0.01013 4.596 Als 6.88186
S 84 126.5 23.9 0.01314 2.982 Als 1.52315
S 126 211.7 26 0.01719 5.682 Als 3.70135
S 102 98.5 22.4 0.01615 1.31 Als 3.16228
S 75 118.5 19.8 0.01496 3.347 Als 4.3566
S 79 88.2 18.1 0.01299 1.076 Als 5.99333
F 99 81.8 20.5 0.0117 1.101 Als 1.30384
F 92 119.8 20.7 0.01192 1.407 Als 2.88444
S 70 69.4 17.6 0.00882 0.567 Als 6.92315
S 70 66.7 19.4 0.01192 0.657 Als 2.97321
S 73 58.4 22.3 0.01489 1.064 Als 2.8178
S 64 75.4 23.9 0.01404 0.922 Als 6.60303
S 120 103.9 27.1 0.01399 5.676 Als 0.6
F 62 82.2 26.4 0.02058 1.103 Als 3.02655
F 101 74.1 26.2 0.01725 1.676 Als 2.06155
S 166 143.5 32 0.01734 8.674 Als 1.69706
S 239 133.5 34.7 0.01906 6.254 Als 0.5
S 184 183.8 29.2 0.02153 4.026 Als 4.38292
S 87 100.1 25.2 0.02475 1.78 Als 5.09215
S 103 127.7 25.1 0.02183 2.528 Als 1.14018
F 134 80.9 27.2 0.01876 1.54 Als 1.48661
F 98 105 27.8 0.01808 3.178 Als 0.36056
S 124 113.8 23.3 0.01488 3.849 Als 2.7313
S 146 119.2 23.1 0.01047 3.831 Als 3.52278
S 154 100.2 26.6 0.01173 1.357 Als 2.12132
S 118 73.5 25.4 0.00992 0.592 Als 5.96657
S 98 60.8 19.5 0.00972 0.724 Als 5.29528
F 95 48.8 18.6 0.00919 0.39 Als 4.62277
F 110 80.8 21.4 0.01089 0.702 Als 4.52217
S 117 86.5 25.8 0.01029 0.828 Als 4.08044
S 63 63.3 18.8 0.01252 0.771 Als 6.22896
S 69 51 20.1 0.0157 0.885 Als 8.62148
S 76 77.8 18.2 0.01366 0.87 Als 5.09902
S 109 108.8 23 0.01226 2.664 Als 0.31623
F 79 66.3 20.1 0.01488 0.649 Als 3.45398
F 81 77.4 22.4 0.01368 1.225 Als 1.45602
S 127 126.3 29.1 0.01264 3.341 Als 0.7
S 79 159.2 30.1 0.01376 1.66 Als 2.76586
S 59 83.9 19 0.01388 0.754 Als 5.37122
S 97 68.1 21.6 0.01166 0.676 Als 2.6
S 132 193.6 25 0.01367 5.321 Als 3.20156
F 84 104.3 23 0.01309 0.989 Als 0.9434
S 27 122.7 22.1 0.02082 2.742 Als 2.14009
S 31 84.2 18 0.01849 1.264 Als 3.33766
S 69 59.1 19.4 0.01456 4.062 Als 3.04138
S 107 79.5 21.6 0.01206 3.704 Als 3.36155
F 135 116.7 27.6 0.01025 1.039 Als 2.40832
F 99 96.8 24.8 0.00896 0.793 Als 7.21249
S 116 77.6 21.5 0.01156 0.684 Als 3.70135
S 120 80.7 24.7 0.01293 0.79 Als 4.52769
S 71 119 23.8 0.01287 1.036 Als 6.08276
S 91 139.3 21.8 0.01134 1.535 Als 3.7855
S 86 121.8 22.4 0.01419 1.595 Als 2.37697
F 126 125.1 25.7 0.01703 2.097 Als 6.12209
F 114 142 27.2 0.01572 2.629 Als 5.72014
S 139 159.2 29.1 0.01723 3.9 Als 4.67547
S 142 185.7 29.7 0.0188 3.962 Als 4.245
S 92 115.6 24.2 0.01843 1.279 Als 2.69072
S 163 97.7 29.5 0.01351 0.955 Als 3.78021
F 173 124.6 32.9 0.01446 1.141 Als 3.05287
F 169 153.2 35 0.01539 1.762 Als 2.95466
S 210 135.2 35.6 0.014 1.14 Als 4.2638
S 226 125.7 36.2 0.01295 0.736 Als 5.73149
S 206 132.6 34.4 0.0097 1.662 Als 4.96488
S 214 117.5 35.7 0.00912 1.737 Als 4.03113
S 161 140.6 36.3 0.0138 0.789 Als 4.245
F 185 137.4 36.4 0.01607 1.841 Als 3.36155
F 147 154 34.8 0.0133 2.693 Als 3.64005
S 208 125.9 33.2 0.0071 1.452 Als 3.74833
S 219 173.9 36.8 0.0099 2.994 Als 2.19317
S 204 132.4 37.4 0.01181 0.697 Als 4.92544
S 157 138.6 29.5 0.01754 1.616 Als 4.17732
F 139 76.6 25 0.01029 1.301 Als 5.1
F 156 128.6 27 0.01169 2.17 Als 5.39073
F 168 155.8 31.7 0.01598 2.958 Als 4.005
S 98 83.5 24.4 0.0162 0.95 Als 8.13941
S 114 90.5 27.2 0.01411 0.557 Als 3.44819
F 126 61.5 26.4 0.00714 2.918 Als 3.53553
S 113 112.4 27.7 0.00728 1.68 Als 6.4195
S 66 79 15.1 0.00751 1.399 Als 6.13922
F 60 102.4 14.6 0.00827 2.078 Als 0.53852
F 79 78 12.6 0.00769 1.193 Als 9.97246
F 80 78.5 10.9 0.00567 1.495 Als 6.08358
S 99 74.9 12.4 0.00517 0.997 Als 3.60555
S 82 78.2 13.4 0.00376 1.167 Als 1.43178
S 92 82.6 13.9 0.0033 1.51 Als 4.62277
S 99 78.5 17.5 0.00425 1.535 Als 8.45044
F 69 82.4 14.8 0.0098 1.75 Als 9.41116
F 95 75.7 16.7 0.0049 1.579 Als 2.92746
S 71 99.8 17.6 0.00601 2.443 Als 4.50444
S 74 78.2 14.2 0.00735 2.505 Als 5.25547
S 83 76.3 15 0.00448 1.533 Als 3.58469
S 92 94.8 17.2 0.00559 2.209 Als 1.33417
S 99 64 22.7 0.00783 2.681 Als 2.55539
F 91 77 19.2 0.01011 2.058 Als 2.86007
F 79 56.4 16.1 0.00945 2.418 Als 1.2083
S 58 55.6 14.5 0.01327 1.994 Als 5.80517
S 101 73.4 19.4 0.0096 1.422 Als 2.26274
S 100 106 24.5 0.01034 1.918 Als 2.90689
S 149 128.2 28.3 0.01325 2.959 Als 1.9105
S 140 155.6 30.7 0.01532 2.2 Als 2.5632
F 141 115.1 31.1 0.01759 2.204 Als 2.77849
F 178 126 29.6 0.01802 1.582 Als 3.7108
S 54 103.2 19.6 0.01722 1.65 Als 6.64078
S 103 94.3 17.6 0.0098 1.582 Als 1.62788
S 129 100.4 23.2 0.00671 1.416 Als 3.80789
S 132 107.5 28.2 0.00777 2.109 Als 4.46542
F 81 100.3 19.7 0.00746 1.049 Als 7.61577
F 76 101.2 20.2 0.00602 0.907 Als 6.67608
S 46 97.7 18.1 0.00831 1.839 Als 6.30317
S 80 81.8 17.5 0.00377 0.887 Als 5.18941
S 91 101.3 17.9 0.00555 1.228 Als 5.51543
S 109 103.8 19 0.00706 1.446 Als 1.40357
F 51 63.4 16.5 0.00747 2.396 Als 1.02956
F 101 78.4 18.9 0.00627 1.776 Als 1.21655
S 121 85.9 21.9 0.00683 0.915 Als 2.10238
S 132 114.8 24.6 0.00754 1.959 Als 1.58114
S 92 103.6 25 0.00865 1.126 Als 2.60768
S 94 90.9 26.4 0.01211 0.994 Als 3.50143
F 124 94.3 26.2 0.00714 1.826 Als 6.71193
F 124 91.8 27.8 0.00726 1.263 Als 7.64003
S 162 146.4 30.9 0.00779 2.048 Als 6.12944
S 174 132.8 31.4 0.00948 2.243 Als 3.55106
S 164 134 29.3 0.00779 1.466 Als 4.24382
S 196 138.6 30.7 0.00846 1.584 Als 4.87032
S 179 141.8 32.6 0.01084 1.308 Als 3.19061
F 84 107.1 23.9 0.01372 1.519 Als 4.81041
F 156 143.8 27.3 0.01092 2.171 Als 2.40416
S 152 148.8 29.8 0.0106 1.636 Als 1.3
S 215 156.3 30.8 0.01082 2.578 Als 4.51885
S 78 113.8 27.6 0.01196 1.337 Als 4.30116
S 94 84.7 23.1 0.011 0.945 Als 5.02892
S 73 78.3 21.1 0.00831 0.932 Als 6.23939
F 59 52.5 20.7 0.01222 1.577 Als 3.11127
F 99 157.4 25.9 0.01228 3.235 Als 1.14018
S 53 101 17.4 0.01132 1.505 Als 8.15414
S 44 71.5 19.8 0.01089 1.07 Als 5.34509
S 48 89.1 16.7 0.00853 1.514 Als 5.004
S 63 88.4 17 0.00891 1.385 Als 1.64012
F 117 121.4 21.1 0.00995 1.758 Als 5
F 109 93.5 24.3 0.01412 1.454 Als 5.81808
S 73 111 26.2 0.00896 1.419 Als 6.17414
S 131 105.2 26.3 0.01053 1.324 Als 6
S 142 105.7 28.6 0.00814 1.414 Als 5.73062
F 181 126 29.9 0.00765 2.989 Als 2.59615
S 150 104.6 30 0.01184 2.287 Als 4.03113
F 128 107.8 25.6 0.0143 1.356 Als 5.71402
F 119 148.6 29 0.00699 1.799 Als 4.11825
S 98 133.9 28.5 0.01 1.391 Als 7.59539
S 82 98 21.4 0.00962 1.446 Als 6.77791
S 60 86 23.2 0.00892 1.396 Als 8.59593
S 93 92.7 21.2 0.01049 1.255 Als 6.62118
S 36 85.1 21.6 0.00991 0.902 Als 5.34509
F 94 95.5 22.3 0.00691 0.745 Als 3.00167
F 70 81.5 22.9 0.01066 1.746 Als 6.45368
S 45 59.9 21 0.01082 2.112 Als 7.35731
S 82 71.7 23.5 0.01149 1.26 Als 2.59422
S 142 157.7 29.6 0.01427 4.596 Als 0.14142
S 131 82.2 30 0.01318 2.72 Als 1.07703
S 125 103.9 28.4 0.01115 1.361 Als 4.70106
F 65 89.1 23.3 0.01048 0.817 Als 5.51453
F 87 80.4 22.7 0.00783 0.812 Als 4.66476
S 96 101.4 23.8 0.00805 1.851 Als 1.50333
S 35 87.8 20.3 0.00931 1.528 Als 4.60977
S 103 95.1 23.3 0.00701 0.873 Als 5.10392
S 79 89.6 22.1 0.00733 0.831 Als 2.81603
S 88 76.6 22.8 0.00924 1.555 Als 5
F 70 75.4 18.4 0.00702 1.193 Als 4.07185
F 72 59.5 15.2 0.00858 1.246 Als 2.43516
S 64 50.6 19 0.00619 0.62 Als 5.54437
S 90 74.5 21 0.00742 0.968 Als 3.00167
S 66 78.8 21.4 0.00824 1.361 Als 3.08058
S 57 85 23.5 0.01027 1.306 Als 4.12311
F 92 76.9 21.9 0.00804 1.064 Als 3.72022
F 67 53.5 19.2 0.00897 0.782 Als 6.72681
S 101 114.5 25.2 0.00974 2.409 Als 6.26259
S 98 60.2 23 0.01359 1.736 Als 5.80086
F 74 97 22.3 0.00919 1.35 Als 1.11803
F 61 96.8 18.5 0.01269 2.729 Als 3.1257
S 91 107.7 22.2 0.01255 1.659 Als 2.3
S 91 93 22.7 0.01069 1.289 Als 3.22025
S 78 87.7 21.7 0.01058 1.715 Als 2.60768
S 62 64.2 17.9 0.01195 2.114 Als 6.02163
S 68 93.5 19.6 0.00529 1.383 Als 4.65296
F 79 81.8 21.3 0.00641 1.254 Als 2.2561
F 103 96.7 23.4 0.00677 2.399 Als 4
S 120 144 26.4 0.00943 2.854 Als 5.06952
S 126 151.1 28.7 0.00947 2.519 Als 6.15549
S 144 180.5 28.7 0.00945 5.117 Als 2.69258
S 93 109.3 28.3 0.01268 1.681 Als 4.29535
S 109 93 26.6 0.01033 3.22 Als 1.98494
F 98 111.8 25.7 0.01056 1.814 Als 4.78017
F 102 128.7 27.2 0.00933 5.772 Als 5.39073
S 111 134.8 26.6 0.00703 5.738 Als 2.2
S 126 119.8 26.4 0.01124 3.86 Als 1.47648
S 156 117.5 28.1 0.01025 1.915 Als 4.10488
S 110 139.6 29 0.00966 2.97 Als 3.84708
F 78 101.7 25.4 0.01025 1.835 Als 3.27567
F 33 91.3 19.7 0.01281 2.272 Als 2.28254
S 58 80.5 19.5 0.01192 2.363 Als 2.41661
S 41 67.7 21.2 0.0097 4.203 Als 3.96232
S 87 110.2 23.4 0.00885 2.25 Als 5.69386
S 42 96.7 23.5 0.01019 2.519 Als 5.73062
S 39 51.7 12.7 0.00861 6.336 Als 4.20476
F 65 59.8 14.9 0.00484 4.398 Als 4.85489
S 65 83.2 16.9 0.00514 5.067 Als 2.24722
S 78 82.9 19.3 0.00469 4.741 Als 6.16117
S 57 104.9 19.4 0.00672 5.205 Als 4.51885
S 79 69.3 20.5 0.00708 3.934 Als 2.64008
F 101 111.2 19.3 0.00665 2.633 Als 4.15933
S 23 65.1 18.3 0.01106 2.519 Als 2.77849
S 19 48.2 20.5 0.00786 7.777 Als 3.58469
S 41 63.4 18.2 0.00655 1.795 Als 4.20119
S 52 58.8 15.5 0.00839 2.917 Als 6.2642
F 84 81.3 22.3 0.00904 0.785 Cad 9.3622
F 103 100.5 20.7 0.00748 0.981 Cad 9.4366
S 100 115.1 17.9 0.00816 0.811 Cad 9.4048
S 96 95 19.7 0.00726 0.743 Cad 10.9385
S 115 93.8 24.3 0.0071 0.788 Cad 9.7739
S 114 117.5 24.9 0.00909 1.109 Cad 7.6531
S 153 128.8 27.1 0.00937 1.194 Cad 4.6872
F 203 182 25.4 0.01275 5.952 Cad 6.1074
F 208 188 25.3 0.01184 7.85 Cad 6.7956
S 121 137.7 25.5 0.01141 10.433 Cad 6.1221
S 112 101.1 21.1 0.01706 1.154 Cad 6.8118
S 114 129.3 17.7 0.01684 3.685 Cad 2.9206
S 56 146.4 14.3 0.01488 2.988 Cad 5.2154
S 103 115.4 19 0.01088 1.922 Cad 8.5475
F 84 78.7 15.3 0.01547 0.84 Cad 1.6125
F 72 88.4 20.4 0.01315 0.76 Cad 8.1345
S 92 85.3 23 0.0069 0.854 Cad 11.0693
S 77 89.2 25.2 0.00922 0.953 Cad 9.2445
S 178 192.3 26.9 0.01209 5.783 Cad 7.6158
S 114 126.2 29.4 0.0117 1.363 Cad 7.7414
S 173 143.1 28.5 0.01208 5.686 Cad 6.9354
S 194 177.6 30.9 0.0101 6.974 Cad 6.3906
S 188 159.8 31.6 0.00888 4.145 Cad 7.8109
S 143 203.2 32.3 0.01132 6.198 Cad 6.4885
S 125 214.5 30.8 0.00733 4.045 Cad 6.4133
F 106 138 34.1 0.01192 1.112 Cad 7.5505
F 114 157.8 32.9 0.01569 3.481 Cad 7.1847
S 112 144.1 31.7 0.01414 1.918 Cad 7.7666
S 100 147.7 30.8 0.01047 1.7 Cad 9.6047
S 166 48.3 27 0.02361 1.488 Cad 3.1953
S 135 183 27.8 0.01463 7.783 Cad 5.8052
S 73 104.1 26.6 0.00891 1.151 Cad 11.9281
F 101 102.6 27 0.00727 1.027 Cad 7.311
F 117 108 26.1 0.01003 0.906 Cad 5.4745
S 118 146.9 24.8 0.01367 2.28 Cad 4.9659
S 74 129.9 26.5 0.01146 1.347 Cad 7.3682
S 108 148.6 24.4 0.01769 6.491 Cad 7.5769
S 64 100.2 26.6 0.008 1.063 Cad 11.0766
S 131 134.7 26.5 0.00937 4.539 Cad 7.7698
F 77 100.8 24.6 0.01033 0.875 Cad 7.9202
F 91 155.1 30.1 0.01152 2.396 Cad 7.0214
S 102 113.9 30.2 0.01037 0.922 Cad 5.1662
S 105 130.5 28.9 0.01219 1.757 Cad 4.1617
S 82 199.7 26.8 0.01421 2.838 Cad 6.9065
S 80 106.5 29.1 0.00923 1.106 Cad 8.36
S 89 119.6 29.8 0.00892 1.149 Cad 8.4593
F 70 73.9 25.5 0.01073 0.446 Cad 9.0377
S 94 137.6 20.3 0.01901 1.571 Cad 6.407
S 77 129.5 26.8 0.01463 1.6 Cad 8.9944
S 114 112.9 29.4 0.01169 0.867 Cad 10.3092
S 157 163.3 28.8 0.00785 1.878 Cad 7.7104
F 202 199.6 30.8 0.01222 3.813 Cad 8.3385
F 191 268.6 30.7 0.0148 7.332 Cad 5.728
S 112 151.5 31.9 0.00785 1.948 Cad 8.0623
S 189 179.9 30.5 0.01372 2.412 Cad 7
S 81 86.1 28.5 0.01048 0.568 Cad 12.8316
S 101 104.1 28 0.00958 1.197 Cad 10.6892
S 133 128.1 29 0.01221 1.477 Cad 4.7885
F 147 131 28.7 0.01414 2.595 Cad 7.2498
F 175 185.6 28.4 0.01535 2.914 Cad 6.4514
